iter	RMSE
0	62270.98289
1	61108.97525
2	59978.96709
3	58817.62546
4	57728.00069
5	56739.4899
6	55625.27091
7	54782.93417
8	53845.20956
9	52788.9139
10	51875.68472
11	51027.70861
12	50160.28871
13	49435.58335
14	48555.08165
15	47828.93307
16	47073.30556
17	46283.19185
18	45618.10578
19	44836.383
20	44116.69256
21	43443.34468
22	42769.82416
23	42051.5505
24	41493.46484
25	40934.49664
26	40330.92788
27	39788.39493
28	39237.6433
29	38734.2728
30	38320.65491
31	37846.74154
32	37415.26959
33	36956.21767
34	36514.50596
35	36070.54201
36	35621.43074
37	35197.70388
38	34772.4347
39	34386.63285
40	33948.3616
41	33608.19224
42	33286.14927
43	33021.22886
44	32643.84213
45	32326.25223
46	32074.3339
47	31740.84528
48	31469.88923
49	31186.39826
50	30897.573
51	30630.72396
52	30359.9455
53	30142.71679
54	29887.16399
55	29687.25372
56	29437.90293
57	29188.93256
58	28912.3815
59	28660.20252
60	28484.24482
61	28288.35218
62	28075.3864
63	27892.13891
64	27703.81795
65	27529.97563
66	27358.47328
67	27138.77349
68	26940.35101
69	26740.32235
70	26510.5733
71	26311.06169
72	26150.83498
73	25956.73828
74	25778.19875
75	25637.60609
76	25463.9878
77	25278.26814
78	25105.15721
79	24919.90519
80	24724.67345
81	24577.55521
82	24427.70957
83	24311.0975
84	24236.16874
85	24108.56054
86	23972.25347
87	23821.04845
88	23693.68827
89	23555.16534
90	23446.59063
91	23379.4391
92	23263.8688
93	23163.89467
94	23059.389
95	22927.228
96	22832.64786
97	22695.54498
98	22563.66592
99	22484.85782
100	22390.66836
101	22276.71926
102	22197.73364
103	22108.14198
104	21993.10079
105	21915.9166
106	21839.04423
107	21748.59468
108	21662.60575
109	21595.23804
110	21525.08932
111	21464.99262
112	21385.95359
113	21317.16691
114	21262.6932
115	21202.57568
116	21126.72008
117	21057.84185
118	20982.43291
119	20930.60078
120	20882.31743
121	20829.72886
122	20789.13217
123	20730.48044
124	20664.02037
125	20627.087
126	20558.40504
127	20510.54404
128	20440.24065
129	20386.87451
130	20328.43964
131	20301.79812
132	20245.29767
133	20194.23095
134	20154.34416
135	20109.35358
136	20065.32758
137	20036.91259
138	19996.21903
139	19942.37175
140	19881.89694
141	19849.26858
142	19832.68946
143	19773.7572
144	19717.17686
145	19668.74161
146	19630.38932
147	19570.59554
148	19509.84493
149	19458.42745
150	19417.54539
151	19401.35193
152	19361.32139
153	19319.1819
154	19293.70206
155	19215.2142
156	19166.37255
157	19150.03896
158	19083.58384
159	19022.91165
160	18976.34871
161	18953.79586
162	18901.46907
163	18861.38918
164	18834.61393
165	18796.1951
166	18743.22906
167	18710.81935
168	18663.29936
169	18617.25789
170	18566.76738
171	18507.01343
172	18461.1021
173	18436.85718
174	18400.32172
175	18362.66435
176	18339.27532
177	18303.76346
178	18258.4616
179	18209.85838
180	18172.23566
181	18142.06286
182	18097.87809
183	18075.1479
184	18050.616
185	18008.20789
186	17976.13738
187	17963.26081
188	17933.59759
189	17908.53343
190	17861.76499
191	17850.48307
192	17809.80763
193	17767.9163
194	17754.84026
195	17714.14934
196	17682.24663
197	17666.49347
198	17639.92939
199	17605.81037
200	17580.93988
201	17534.57388
202	17487.15365
203	17435.37613
204	17416.42113
205	17399.44332
206	17375.4853
207	17360.81152
208	17319.93381
209	17269.68943
210	17247.16742
211	17226.64294
212	17203.64631
213	17179.12075
214	17141.8162
215	17118.99794
216	17088.26679
217	17048.09107
218	17012.21907
219	16982.49399
220	16961.57891
221	16931.39545
222	16914.38175
223	16882.5319
224	16856.11809
225	16828.33127
226	16781.84104
227	16748.38892
228	16734.43358
229	16698.28607
230	16661.29894
231	16636.88547
232	16628.6432
233	16614.51388
234	16563.97247
235	16529.54653
236	16497.11684
237	16478.60416
238	16454.84335
239	16421.79643
240	16381.98714
241	16356.37162
242	16340.30584
243	16323.65781
244	16304.18544
245	16280.8523
246	16268.36689
247	16244.65369
248	16222.9033
249	16209.0711
250	16194.46226
251	16167.79796
252	16156.10218
253	16135.0117
254	16108.54992
255	16083.33206
256	16057.83758
257	16037.48813
258	16016.91965
259	16005.87618
260	15970.37963
261	15951.49858
262	15931.72662
263	15881.90819
264	15858.967
265	15826.24315
266	15811.46115
267	15778.09728
268	15740.31234
269	15705.88253
270	15676.9321
271	15649.21947
272	15625.08865
273	15584.91004
274	15564.89136
275	15542.08386
276	15522.706
277	15493.40355
278	15471.5708
279	15454.99968
280	15433.46635
281	15420.32995
282	15393.08025
283	15382.45561
284	15361.24508
285	15347.57448
286	15296.77711
287	15250.23325
288	15219.55733
289	15178.87865
290	15138.04572
291	15126.89532
292	15075.2831
293	15031.07996
294	14985.8119
295	14975.368
296	14948.97115
297	14935.81242
298	14909.86225
299	14894.13889
300	14871.64571
301	14839.84735
302	14810.14862
303	14783.77103
304	14769.664
305	14745.54077
306	14729.49052
307	14712.95697
308	14681.57723
309	14664.79051
310	14653.45367
311	14648.38293
