iter	Passed	Remaining
0	116	1169294
1	192	962196
2	276	920755
3	453	1132256
4	597	1194935
5	712	1186496
6	787	1124201
7	879	1098045
8	948	1053314
9	1036	1035039
10	1114	1011944
11	1194	994355
12	1269	975356
13	1355	967195
14	1435	955297
15	1516	946444
16	1588	932816
17	1669	925903
18	1753	921217
19	1854	925172
20	1924	914440
21	2004	909015
22	2100	911208
23	2187	909373
24	2293	914907
25	2388	916379
26	2484	917791
27	2563	913105
28	2652	911983
29	2721	904457
30	2847	915794
31	2955	920602
32	3043	919234
33	3124	915884
34	3193	909289
35	3266	904023
36	3339	899259
37	3416	895785
38	3502	894663
39	3572	889516
40	3658	888778
41	3734	885366
42	3807	881585
43	3863	874303
44	3949	873690
45	4022	870347
46	4079	863826
47	4139	858187
48	4232	859631
49	4348	865373
50	4411	860664
51	4518	864436
52	4604	864225
53	4708	867255
54	4797	867481
55	4887	867887
56	4976	868109
57	5047	865198
58	5120	862843
59	5209	863117
60	5270	858723
61	5413	867714
62	5476	863880
63	5562	863560
64	5634	861202
65	5716	860489
66	5782	857313
67	5848	854285
68	5899	849161
69	5972	847223
70	6046	845515
71	6158	849205
72	6239	848496
73	6311	846618
74	6378	844094
75	6448	842069
76	6522	840606
77	6614	841403
78	6702	841773
79	6779	840664
80	6852	839196
81	6924	837555
82	6983	834376
83	7059	833354
84	7104	828761
85	7168	826427
86	7243	825314
87	7315	823956
88	7380	821862
89	7443	819647
90	7498	816520
91	7542	812321
92	7602	809894
93	7664	807682
94	7733	806344
95	7793	803997
96	7872	803686
97	7957	804059
98	8054	805520
99	8132	805126
100	8235	807113
101	8335	808862
102	8415	808621
103	8501	808965
104	8592	809721
105	8686	810754
106	8781	811893
107	8844	810129
108	8926	809974
109	8990	808308
110	9061	807246
111	9139	806857
112	9239	808432
113	9355	811335
114	9462	813350
115	9529	811957
116	9610	811841
117	9669	809785
118	9739	808665
119	9804	807197
120	9863	805308
121	9930	804079
122	9996	802697
123	10066	801754
124	10151	801936
125	10304	807537
126	10402	808671
127	10479	808239
128	10553	807526
129	10611	805655
130	10680	804608
131	10753	803926
132	10835	803841
133	10902	802708
134	10968	801515
135	11032	800146
136	11102	799271
137	11161	797608
138	11223	796233
139	11282	794586
140	11335	792627
141	11408	791975
142	11479	791276
143	11536	789608
144	11604	788680
145	11661	787092
146	11727	786065
147	11792	785015
148	11882	785577
149	11941	784133
150	12016	783766
151	12043	780289
152	12103	778989
153	12149	776793
154	12208	775407
155	12276	774674
156	12342	773823
157	12408	772934
158	12473	772010
159	12525	770295
160	12598	769920
161	12646	768009
162	12722	767804
163	12786	766862
164	12877	767568
165	13048	773034
166	13128	772993
167	13224	773960
168	13287	772964
169	13411	775482
170	13507	776390
171	13588	776467
172	13653	775584
173	13725	775114
174	13826	776266
175	13925	777298
176	14015	777804
177	14101	778094
178	14214	779882
179	14307	780528
180	14386	780452
181	14478	781037
182	14560	781071
183	14647	781392
184	14713	780608
185	14792	780510
186	14845	779036
187	14879	776595
188	14944	775745
189	14996	774311
190	15057	773296
191	15078	770266
192	15134	769014
193	15180	767329
