iter	RMSE
0	135.3338926
1	124.7108927
2	116.9110115
3	110.5850227
4	102.693685
5	96.11424982
6	90.13300002
7	84.49162677
8	79.1468246
9	74.49611069
10	70.0478341
11	65.96487533
12	64.09221344
13	61.62095262
14	58.47925364
15	55.35343995
16	51.72557224
17	49.85190986
18	48.47224772
19	47.15672972
20	45.7606824
21	43.366525
22	42.15637024
23	40.49577331
24	38.98369301
25	37.71444234
26	36.45509227
27	35.19930655
28	34.03947999
29	32.94612743
30	31.66542037
31	30.4204121
32	29.48931521
33	28.06881095
34	27.21786643
35	26.32028185
36	25.54812322
37	24.76175387
38	23.8961516
39	23.1238874
40	22.47725709
41	21.68533544
42	20.97754675
43	20.41415505
44	19.83305124
45	19.18564605
46	18.56114709
47	18.05672022
48	17.59876618
49	17.06938744
50	16.63390624
51	16.14006026
52	15.69587644
53	15.24913451
54	14.83825183
55	14.4477482
56	14.0636137
57	13.7431624
58	13.39009315
59	12.62666064
60	12.32727136
61	11.61783529
62	11.38399972
63	11.13406098
64	10.91941326
65	10.67075068
66	10.10082695
67	9.907039593
68	9.422945857
69	9.243695001
70	9.090467719
71	8.951272639
72	8.820529983
73	8.680582599
74	8.564701616
75	8.447296401
76	8.345172368
77	8.241496667
78	7.907963377
79	7.783987511
80	7.423910504
81	7.327745918
82	7.239986173
83	7.166321336
84	6.88171833
85	6.796189443
86	6.721013618
87	6.661110714
88	6.388826749
89	6.184948875
90	6.13243611
91	6.060407934
92	6.007680831
93	5.784161988
94	5.710392247
95	5.658049146
96	5.61628448
97	5.450843027
98	5.41289524
99	5.2388959
100	5.185783857
101	5.105195474
102	5.036482723
103	4.890880471
104	4.747666822
105	4.713283256
106	4.675466947
107	4.549271268
108	4.525037742
109	4.372118105
110	4.350710003
111	4.27807311
112	4.260680367
113	4.134879313
114	4.012686732
115	3.995224608
116	3.8964689
117	3.876885721
118	3.859143677
119	3.783224765
120	3.682510383
121	3.61092
122	3.594338639
123	3.523839248
124	3.512414892
125	3.436897755
126	3.420242613
127	3.355393497
128	3.282875197
129	3.266408281
130	3.242384367
131	3.186298481
132	3.149372977
133	3.094145181
134	3.037647285
135	2.981669635
136	2.949088222
137	2.942563892
138	2.884809052
139	2.833656936
140	2.810835539
141	2.76129628
142	2.714826973
143	2.69185861
144	2.671923487
145	2.66620201
146	2.606779141
147	2.562361255
148	2.529192049
149	2.524911339
150	2.504513069
151	2.485849327
152	2.453069723
153	2.436211161
154	2.419724515
155	2.393258121
156	2.354421448
157	2.314693684
158	2.28671449
159	2.254792362
160	2.239429019
161	2.213648206
162	2.200060453
163	2.194789983
164	2.155945566
165	2.114012603
166	2.109788104
167	2.086119331
168	2.049016233
169	2.044430288
170	2.014413271
171	1.969477989
172	1.95025073
173	1.947497727
174	1.944913698
175	1.931978153
176	1.896045767
177	1.863735406
178	1.842617424
179	1.823690587
180	1.80523965
181	1.802830566
182	1.782220977
183	1.754357515
184	1.738223743
185	1.719878134
